,YEAR,LCGGEOX,LCGGEOY,BNLONG
19372,2010,-73.8908,40.8833,X344
19373,2010,-73.9025,40.87427,X360
19374,2010,-73.9099,40.87944,X368
19375,2010,-73.8883,40.86001,X374
19376,2010,-73.9034,40.85493,X382
19377,2010,-73.9034,40.85493,X386
19378,2010,-73.913,40.8547,X390
19379,2010,-73.8966,40.85468,X391
19380,2010,-73.913,40.8547,X396
19381,2010,-73.9121,40.87724,X397
19382,2010,-73.9001,40.85968,X399
19383,2010,-73.8982,40.87026,X433
19384,2010,-73.8883,40.86001,X434
19385,2010,-73.8883,40.86001,X437
19386,2010,-73.8883,40.86001,X438
19387,2010,-73.8883,40.86001,X439
19388,2010,-73.8871,40.88239,X440
19389,2010,-73.8982,40.87026,X442
19390,2010,-73.891,40.87766,X445
19391,2010,-73.9001,40.85968,X447
19392,2010,-73.9001,40.85968,X459
19393,2010,-73.9121,40.87724,X475
19394,2010,-73.9121,40.87724,X477
19395,2010,-73.9097,40.85718,X495
19398,2010,-73.9121,40.87724,X546
19399,2010,-73.8982,40.87026,X549
19400,2010,-73.8825,40.85591,X660
19402,2010,-73.8953,40.87411,X696
19404,2010,-73.8547,40.90217,X016
19405,2010,-73.8674,40.8993,X019
19406,2010,-73.8599,40.88771,X021
19407,2010,-73.868,40.87432,X041
19408,2010,-73.8384,40.89145,X068
19409,2010,-73.8614,40.86953,X076
19410,2010,-73.8512,40.87844,X078
19411,2010,-73.8592,40.8493,X083
19412,2010,-73.846,40.89515,X087
19413,2010,-73.8594,40.86299,X089
19414,2010,-73.8694,40.86131,X096
19415,2010,-73.8467,40.8629,X097
19416,2010,-73.8614,40.89225,X103
19417,2010,-73.8667,40.85246,X105
19418,2010,-73.8547,40.83747,X106
19419,2010,-73.8532,40.85466,X108
19420,2010,-73.8406,40.88538,X111
19421,2010,-73.8432,40.88505,X112
19422,2010,-73.8509,40.86594,X121
19423,2010,-73.8534,40.83794,X127
19424,2010,-73.8406,40.88553,X142
19425,2010,-73.8361,40.8637,X144
19426,2010,-73.8335,40.87272,X153
19427,2010,-73.8241,40.8647,X160
19428,2010,-73.8395,40.88099,X169
19429,2010,-73.7851,40.8438,X175
19430,2010,-73.8336,40.87598,X178
19431,2010,-73.8337,40.8735,X180
19432,2010,-73.8337,40.87517,X181
19433,2010,-73.83,40.88275,X189
19434,2010,-73.8455,40.83494,X194
19435,2010,-73.8337,40.8743,X249
19436,2010,-73.8621,40.87593,X253
19437,2010,-73.8621,40.87593,X265
19438,2010,-73.8528,40.88795,X270
19439,2010,-73.8608,40.88084,X272
19440,2010,-73.8621,40.87593,X275
19441,2010,-73.8608,40.88084,X287
19442,2010,-73.861,40.85972,X288
19443,2010,-73.8608,40.88084,X289
19444,2010,-73.8621,40.87593,X290
19445,2010,-73.861,40.85972,X299
19446,2010,-73.8646,40.86206,X322
19447,2010,-73.8646,40.86206,X326
19448,2010,-73.8608,40.88084,X370
19449,2010,-73.861,40.85972,X415
19451,2010,-73.8648,40.85146,X418
19452,2010,-73.8337,40.8743,X455
19454,2010,-73.83,40.88275,X462
19455,2010,-73.8646,40.86206,X468
19456,2010,-73.8528,40.88795,X513
19457,2010,-73.8528,40.88795,X514
19458,2010,-73.861,40.85972,X541
19459,2010,-73.861,40.85972,X542
19460,2010,-73.8621,40.87593,X544
19461,2010,-73.8621,40.87593,X545
19463,2010,-73.8815,40.84062,X006
19464,2010,-73.8912,40.84208,X044
19465,2010,-73.8667,40.83285,X047
19466,2010,-73.8874,40.83416,X050
19467,2010,-73.8886,40.84848,X057
19468,2010,-73.8929,40.8365,X061
19469,2010,-73.8871,40.83125,X066
19470,2010,-73.8847,40.84389,X067
19471,2010,-73.8899,40.84671,X092
19472,2010,-73.8905,40.83594,X098
19473,2010,-73.866,40.83768,X102
19474,2010,-73.8862,40.84591,X129
19475,2010,-73.8946,40.8312,X134
19476,2010,-73.8943,40.82629,X150
19477,2010,-73.8929,40.8365,X190
19478,2010,-73.8775,40.8301,X195
19479,2010,-73.8775,40.8301,X196
19480,2010,-73.8775,40.8301,X197
19481,2010,-73.9006,40.82843,X198
19482,2010,-73.8898,40.84359,X211
19483,2010,-73.9006,40.82843,X212
19484,2010,-73.8803,40.83932,X214
19485,2010,-73.8939,40.82237,X216
19486,2010,-73.8939,40.82237,X217
19487,2010,-73.8783,40.8314,X242
19488,2010,-73.9,40.82766,X245
19489,2010,-73.8975,40.82728,X248
19490,2010,-73.8905,40.83594,X251
19491,2010,-73.8905,40.83594,X262
19492,2010,-73.9,40.82766,X267
19493,2010,-73.8881,40.83653,X271
19494,2010,-73.8886,40.84848,X273
19495,2010,-73.8975,40.82728,X278
19496,2010,-73.8871,40.83125,X286
19497,2010,-73.8872,40.84627,X300
19498,2010,-73.8862,40.84591,X316
19499,2010,-73.8898,40.84359,X318
19500,2010,-73.8912,40.84208,X341
19501,2010,-73.8847,40.84389,X372
19502,2010,-73.8946,40.8312,X383
19503,2010,-73.8939,40.82237,X384
19504,2010,-73.8787,40.83134,X388
19506,2010,-73.9006,40.82843,X463
19507,2010,-73.8783,40.8314,X478
19508,2010,-73.9,40.82766,X479
19509,2010,-73.8987,40.82353,X480
19510,2010,-73.8787,40.83134,X550
19511,2010,-73.8787,40.83134,X680
19512,2010,-73.8863,40.83095,X682
19513,2010,-73.8754,40.84175,X684
19514,2010,-73.8787,40.83134,X690
19515,2010,-73.866,40.83768,X691
19516,2010,-73.8787,40.83134,X692
19518,2010,-73.9554,40.68258,K003
19519,2010,-73.9931,40.70065,K008
19520,2010,-73.9656,40.67828,K009
19521,2010,-73.9662,40.68548,K011
19522,2010,-73.9713,40.69083,K020
19523,2010,-73.9409,40.68651,K044
19524,2010,-73.9712,40.69466,K046
19525,2010,-73.9529,40.69308,K054
19526,2010,-73.9606,40.68499,K056
19527,2010,-73.9781,40.69559,K067
19528,2010,-73.9467,40.67914,K093
19529,2010,-73.9606,40.68499,K103
19530,2010,-73.971,40.68872,K113
19531,2010,-73.988,40.67095,K133
19532,2010,-73.9505,40.69065,K256
19533,2010,-73.9757,40.69638,K265
19534,2010,-73.9763,40.67886,K266
19535,2010,-73.9616,40.69156,K270
19536,2010,-73.9774,40.67634,K282
19537,2010,-73.9806,40.69791,K287
19538,2010,-73.9449,40.68604,K301
19539,2010,-73.9449,40.68604,K305
19540,2010,-73.9823,40.7014,K307
19541,2010,-73.9823,40.7014,K313
19542,2010,-73.9456,40.68161,K336
19543,2010,-73.985,40.69765,K350
19544,2010,-73.9589,40.69256,K412
19545,2010,-73.985,40.69765,K419
19546,2010,-73.9768,40.68896,K430
19547,2010,-73.985,40.69765,K439
19548,2010,-73.9885,40.69499,K483
19549,2010,-73.9713,40.69083,K492
19550,2010,-73.962,40.67844,K499
19551,2010,-73.9868,40.69843,K509
19552,2010,-73.9885,40.69499,K527
19553,2010,-73.9472,40.68508,K553
19554,2010,-73.9656,40.67828,K571
19555,2010,-73.9472,40.68508,K575
19556,2010,-73.9806,40.69791,K592
19557,2010,-73.9542,40.68537,K595
19558,2010,-73.9589,40.69256,K596
19559,2010,-73.9861,40.69499,K605
19560,2010,-73.9589,40.69256,K616
19561,2010,-73.9691,40.69547,K670
19562,2010,-73.9861,40.69499,K674
19564,2010,-73.9614,40.7061,K016
19565,2010,-73.9566,40.71524,K017
19566,2010,-73.947,40.71066,K018
19567,2010,-73.9545,40.70967,K019
19568,2010,-73.9475,40.69412,K023
