,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
X600,116,460,942,1245,730,480,1995,391,90,10901,65,551,897,1104,20380,7,135,13,405,116,344,368,92,373,4242,311,2183,6.0,204,266,97,33,216,346,226,0,483,1321,33,X600,307,459,273,11,122,481,9103,62,1.0,22350,202
X655,116,571,1134,1800,574,352,2054,393,93,11769,65,577,912,1203,22159,7,0,36,493,116,434,425,93,445,3938,320,3149,6.0,214,266,164,114,185,354,364,0,308,1388,114,X655,307,690,16,12,294,486,9812,141,1.0,24224,336
X670,110,271,1108,767,338,357,3945,388,85,7453,65,65,497,643,16897,7,0,12,305,110,329,362,90,217,2068,306,2214,2639.0,150,265,2,22,140,397,324,0,55,767,22,X670,307,858,88,9,182,473,6462,133,1.0,18843,373
X014,103,87,1899,315,127,507,1430,373,69,9086,65,115,271,634,16844,8,0,17,289,103,324,600,78,129,2788,307,1539,0.0,216,261,2,17,132,347,798,0,251,1920,17,X014,307,782,11,8,87,442,7691,107,0.0,18755,926
X036,99,301,1929,503,141,579,1589,385,87,9537,65,82,278,847,16686,8,0,633,164,99,367,619,87,104,2043,308,1488,0.0,264,265,2,60,114,316,596,0,279,931,59,X036,307,562,71,8,98,472,7659,125,1.0,18670,937
X048,107,107,1961,633,223,459,1575,388,91,10260,65,788,211,812,19047,8,0,184,305,107,337,817,89,78,3665,312,1479,0.0,164,266,2,25,140,249,615,0,805,2178,25,X048,307,456,44,9,132,479,8299,86,1.0,21007,771
X062,102,150,2012,536,376,267,996,387,90,10241,65,536,368,612,17409,8,0,588,117,102,318,634,88,211,2574,300,1485,0.0,182,266,2,18,123,292,627,0,382,1175,18,X062,307,477,59,9,170,477,7982,54,1.0,19349,1005
X069,119,301,2169,325,202,795,2235,386,89,8651,65,245,274,797,16774,8,0,411,227,119,290,656,88,386,2348,268,1252,416.0,234,265,2,21,146,354,458,0,577,848,21,X069,307,452,19,8,113,475,6842,54,1.0,18684,1140
X071,108,144,1384,401,196,218,686,373,65,7936,65,50,218,362,13414,8,0,231,106,108,349,486,78,167,1820,329,1479,0.0,19,261,2,20,48,148,361,0,352,863,19,X071,307,613,50,226,91,438,6998,57,0.0,15345,526
X072,133,92,2352,396,22,252,1052,384,84,9844,65,557,319,552,18402,8,0,524,247,133,366,779,86,80,3496,306,1525,0.0,19,265,2,60,89,250,360,0,403,2571,60,X072,307,743,53,35,101,468,8136,113,1.0,20381,1201
X075,99,131,1818,869,515,241,1225,388,90,11252,65,674,255,759,19091,8,0,223,225,99,284,902,88,234,2759,263,1938,0.0,19,266,2,21,158,347,721,0,633,1066,21,X075,307,614,213,7,101,478,9110,56,1.0,20997,543
X093,133,110,3077,908,116,332,1441,385,87,12684,65,532,722,903,23915,8,0,829,206,133,398,869,87,147,4016,348,2564,0.0,450,265,2,50,325,543,516,0,925,1818,50,X093,307,992,57,9,111,472,10039,111,1.0,25929,1836
X100,116,106,1859,557,23,250,1086,387,89,9657,65,57,448,580,17141,8,0,296,256,116,456,727,88,141,2536,311,1887,0.0,211,266,2,145,119,312,592,0,286,1554,145,X100,307,719,24,184,115,477,8146,188,1.0,19219,760
X101,100,339,1409,775,102,276,1116,381,75,7685,65,46,306,600,13759,8,0,3,240,100,307,438,84,101,1342,279,2106,0.0,252,264,2,28,196,471,584,2,24,375,25,X101,307,720,3,5,136,456,6584,109,1.0,15667,599
X107,97,262,1856,652,29,423,1458,386,88,9878,65,536,312,816,17906,8,0,557,219,97,448,661,87,231,2988,392,1628,0.0,15,265,2,56,138,395,170,1,708,1539,55,X107,307,448,60,9,123,474,8255,53,1.0,19973,823
X119,99,103,1489,385,143,271,1114,382,81,9220,65,516,274,619,14902,8,0,122,224,99,340,626,84,205,1662,299,1319,0.0,135,264,2,41,133,224,556,0,346,664,41,X119,307,602,19,5,102,463,7494,171,1.0,16850,490
X123,113,181,1593,661,665,480,1516,389,89,9824,65,508,539,794,18663,8,51,182,242,113,483,735,90,70,3469,299,2149,0.0,241,266,2,184,167,400,194,0,600,1266,183,X123,307,625,63,355,107,478,8501,65,1.0,20769,485
