,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M290,2,79,99,756,286,24,252,931,361,69,34,7586,83,158,233,491,899,13215,02,3,3,187,79,316,261,67,53,2587,303,1276,,6,260,3,13,1339,115,318,372,1,666,1447,432,10,M290,307,298,8,23,8,365,431,1339,6883,85,No,15300,106
M294,2,152,570,694,308,489,465,1365,372,80,34,9927,83,185,997,643,899,16682,02,3,3,256,152,293,97,74,426,3376,272,1167,1,74,264,3,21,1339,219,719,416,1,648,450,432,18,M294,307,23,8,111,10,106,452,1339,8616,93,Yes,18766,208
M296,2,82,294,770,428,255,402,1703,370,76,34,8430,83,269,805,720,899,13972,02,3,5,580,82,203,156,73,399,1802,190,1184,1,12,263,3,13,1339,169,557,143,1,52,224,432,10,M296,307,4,8,34,11,184,446,1339,7458,108,Yes,15960,225
M298,2,92,663,718,425,24,596,1513,369,73,34,8282,83,138,529,589,899,14194,02,3,3,326,92,346,61,71,458,1700,298,1889,1,12,263,3,48,1339,174,548,248,1,44,263,432,45,M298,307,671,8,29,7,240,442,1339,7277,115,Yes,16320,267
M300,2,202,273,903,401,514,404,1705,372,79,34,8804,83,357,643,720,899,15790,02,3,52,580,202,380,241,74,438,2390,370,1785,1,11,263,3,10,1339,190,551,199,1,56,709,432,7,M300,307,699,8,85,12,123,451,1339,7570,91,Yes,17959,273
M303,2,71,422,922,460,463,402,1703,373,81,34,10071,83,608,664,720,899,17134,02,3,6,580,71,373,279,75,482,2469,361,1898,1,257,264,3,12,1339,234,405,711,1,59,625,432,9,M303,307,667,8,92,251,115,454,1339,7822,91,Yes,19299,253
M305,2,87,562,633,579,583,465,1365,370,75,34,8019,83,111,464,643,899,13773,02,3,136,256,87,402,56,72,262,2110,360,1559,1,68,263,3,42,1339,254,720,382,1,47,197,432,40,M305,307,109,8,82,8,144,444,1339,6886,88,Yes,15959,188
M308,2,182,558,716,573,27,466,1366,373,82,34,8141,83,137,759,643,899,15703,02,222,9,256,182,347,132,76,443,3338,300,1961,1,45,263,3,48,1339,426,706,240,1,472,873,432,45,M308,307,514,8,117,14,154,455,1339,7060,87,Yes,17844,195
M312,2,43,155,1080,41,27,356,1083,360,62,34,7057,127,59,401,455,899,12354,02,3,8,272,43,307,137,66,191,1628,272,1462,,58,260,3,36,1339,148,363,167,1,42,852,432,33,M312,307,494,8,11,397,168,422,1339,6466,96,No,14422,509
M313,2,94,701,778,638,992,597,1315,368,72,34,8464,83,308,909,516,899,16550,02,3,4,200,94,273,174,71,423,3309,262,2591,1,6,262,3,11,1339,283,886,635,1,47,373,432,7,M313,307,765,8,58,9,293,440,1339,6943,85,Yes,18601,214
